区域,标题,总价,单价,位置,信息
成都,明信仕林府 2室2厅 西南, 115万,"13,317元/平",明信仕林府    -  温江大学城 ,2室2厅 | 86.36平米 | 西南 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合
成都,和贵久居福 3室1厅 南, 152万,"13,001元/平",和贵久居福    -  航空港 ,3室1厅 | 116.92平米 | 南 | 毛坯 | 高楼层(共18层) | 2008年建 | 板塔结合
成都,温哥华花园 2室1厅 东, 83万,"14,085元/平",温哥华花园    -  航空港 ,2室1厅 | 58.93平米 | 东 | 简装 | 中楼层(共16层) | 2009年建 | 塔楼
成都,御城 3室2厅 东, 118万,"9,355元/平",御城    -  新都城区 ,3室2厅 | 126.14平米 | 东 | 毛坯 | 中楼层(共26层) | 2009年建 | 板楼
成都,天邑宏御花园御苑 2室1厅 西北, 96万,"10,215元/平",天邑宏御花园御苑    -  橡树湾 ,2室1厅 | 93.98平米 | 西北 | 毛坯 | 高楼层(共25层) | 2016年建 | 板楼
成都,合能四季城一期 3室1厅 西南, ,"参考价:13,016元/平",合能四季城一期    -  犀浦 ,3室1厅 | 89.31平米 | 西南 | 简装 | 高楼层(共29层) | 2014年建 | 板塔结合
成都,天涯石南街17号 2室1厅 西南 南, 185万,"24,813元/平",天涯石南街17号    -  红星路 ,2室1厅 | 74.56平米 | 西南 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼
成都,南湖逸家二期 3室2厅 北, ,"参考价:20,400元/平",南湖逸家二期    -  华府 ,3室2厅 | 66.5平米 | 北 | 简装 | 高楼层(共34层) | 2017年建 | 板塔结合
成都,中华园锦苑 3室2厅 南, 260万,"18,121元/平",中华园锦苑    -  桐梓林 ,3室2厅 | 143.48平米 | 南 | 精装 | 高楼层(共10层) | 2000年建 | 板楼
成都,丽都花园丽府 4室2厅 西南, 415万,"23,443元/平",丽都花园丽府    -  丽都 ,4室2厅 | 177.03平米 | 西南 | 毛坯 | 低楼层(共18层) | 2011年建 | 板楼
成都,汇融悉尼湾库吉岛二期 3室1厅 南, ,"参考价:11,932元/平",汇融悉尼湾库吉岛二期    -  大丰 ,3室1厅 | 101.24平米 | 南 | 简装 | 中楼层(共26层) | 2008年建 | 板塔结合
成都,银丰园一区 4室2厅 东, 95万,"5,576元/平",银丰园一区    -  橡树湾 ,4室2厅 | 170.4平米 | 东 | 精装 | 低楼层(共7层) | 1997年建 | 板楼
成都,棕南西街7号 3室1厅 东南, 132万,"15,715元/平",棕南西街7号    -  棕北 ,3室1厅 | 84平米 | 东南 | 精装 | 中楼层(共7层) | 1998年建 | 板楼
成都,棕北公寓 4室2厅 南, 180万,"12,954元/平",棕北公寓    -  棕北 ,4室2厅 | 138.96平米 | 南 | 精装 | 低楼层(共7层) | 2003年建 | 板楼
成都,华晨雅庭 3室1厅 南, ,"参考价:14,001元/平",华晨雅庭    -  万年场 ,3室1厅 | 89.86平米 | 南 | 简装 | 低楼层(共30层) | 2010年建 | 塔楼
成都,碧林香堤 3室1厅 东南, 95万,"7,914元/平",碧林香堤    -  郫县城区 ,3室1厅 | 120.05平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼
成都,家益锦华苑 3室2厅 北, 308万,"22,052元/平",家益锦华苑    -  猛追湾 ,3室2厅 | 139.67平米 | 北 | 简装 | 中楼层(共18层) | 2006年建 | 板楼
成都,蓝光凯丽美域 3室1厅 东南 西南, ,"参考价:26,583元/平",蓝光凯丽美域    -  金沙 ,3室1厅 | 89.73平米 | 东南 西南 | 精装 | 低楼层(共31层) | 2010年建 | 塔楼
成都,千禧河畔C区 3室2厅 南, 165万,"18,557元/平",千禧河畔C区    -  花都大道 ,3室2厅 | 88.92平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合
成都,保利大都汇·君汇 3室2厅 东北, ,"参考价:13,837元/平",保利大都汇·君汇    -  大丰 ,3室2厅 | 90.76平米 | 东北 | 精装 | 中楼层(共34层)  | 板塔结合
成都,外滩 3室2厅 西南, 239万,"26,494元/平",外滩    -  九眼桥 ,3室2厅 | 90.21平米 | 西南 | 简装 | 中楼层(共41层) | 2009年建 | 板塔结合
成都,蓝润光华春天B区 3室2厅 东, 126万,"15,434元/平",蓝润光华春天B区    -  花都大道 ,3室2厅 | 81.64平米 | 东 | 精装 | 高楼层(共25层) | 2017年建 | 板塔结合
成都,依云岭 3室1厅 北, 56.6万,"6,443元/平",依云岭    -  金堂 ,3室1厅 | 87.85平米 | 北 | 简装 | 高楼层(共27层)  | 塔楼
成都,南阳小区南区 3室2厅 东南, 108万,"7,856元/平",南阳小区南区    -  犀浦 ,3室2厅 | 137.49平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
成都,兴元丽园A区 3室1厅 东南, 77万,"9,280元/平",兴元丽园A区    -  武侯立交 ,3室1厅 | 82.98平米 | 东南 | 精装 | 低楼层(共11层) | 2004年建 | 塔楼
成都,中铁西郡英华三期 3室2厅 东南, 108万,"12,508元/平",中铁西郡英华三期    -  红光 ,3室2厅 | 86.35平米 | 东南 | 精装 | 低楼层(共22层) | 2015年建 | 板塔结合
成都,佳年华新生活A区 3室2厅 东南, 117.8万,"13,089元/平",佳年华新生活A区    -  花都大道 ,3室2厅 | 90平米 | 东南 | 精装 | 低楼层(共33层) | 2016年建 | 塔楼
成都,合能珍宝琥珀三期 3室2厅 东南 南, 105万,"13,144元/平",合能珍宝琥珀三期    -  光华大道沿线 ,3室2厅 | 79.89平米 | 东南 南 | 精装 | 低楼层(共28层)  | 塔楼
成都,优品尚东 3室2厅 南 北, ,"参考价:15,649元/平",优品尚东    -  万年场 ,3室2厅 | 139.54平米 | 南 北 | 简装 | 中楼层(共18层) | 2009年建 | 板塔结合
成都,望江嘉苑 4室2厅 南, 335万,"20,983元/平",望江嘉苑    -  三官堂 ,4室2厅 | 159.66平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼
成都,江华路28号 3室1厅 南, 84.1万,"10,353元/平",江华路28号    -  十陵 ,3室1厅 | 81.24平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合
成都,锦绣森邻 3室2厅 东南, ,"参考价:11,776元/平",锦绣森邻    -  光华大道沿线 ,3室2厅 | 115.58平米 | 东南 | 精装 | 高楼层(共5层) | 2008年建 | 板塔结合
成都,棕南正街6号 3室1厅 南, 230万,"15,391元/平",棕南正街6号    -  棕北 ,3室1厅 | 149.44平米 | 南 | 简装 | 低楼层(共9层) | 1998年建 | 板楼
成都,棕南正街6号 3室1厅 南, 230万,"15,200元/平",棕南正街6号    -  棕北 ,3室1厅 | 151.32平米 | 南 | 简装 | 低楼层(共9层) | 1998年建 | 板楼
成都,北欧知识城二期 2室1厅 东 西, 78万,"10,308元/平",北欧知识城二期    -  大丰 ,2室1厅 | 75.67平米 | 东 西 | 精装 | 高楼层(共34层) | 2013年建 | 板塔结合
成都,正成拉斐 3室2厅 西南, ,"参考价:16,527元/平",正成拉斐    -  国宾 ,3室2厅 | 83.43平米 | 西南 | 精装 | 中楼层(共18层) | 2012年建 | 塔楼
成都,金海岸公寓 2室2厅 西北, 160万,"16,448元/平",金海岸公寓    -  合江亭 ,2室2厅 | 97.28平米 | 西北 | 简装 | 25层 | 2001年建 | 塔楼
成都,维罗纳 3室2厅 东, 70万,"5,800元/平",维罗纳    -  金堂 ,3室2厅 | 120.71平米 | 东 | 精装 | 低楼层(共11层) | 2015年建 | 板楼
成都,为民新村 3室1厅 西北, 87.8万,"16,242元/平",为民新村    -  沙湾 ,3室1厅 | 54.06平米 | 西北 | 精装 | 低楼层(共7层)  | 板楼
成都,双流大市场 3室2厅 东南, 72万,"6,141元/平",双流大市场    -  东升镇 ,3室2厅 | 117.26平米 | 东南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼
成都,怡景城市花苑 3室1厅 东南, 107万,"12,448元/平",怡景城市花苑    -  犀浦 ,3室1厅 | 85.96平米 | 东南 | 精装 | 中楼层(共26层) | 2013年建 | 塔楼
成都,华润二十四城二期 3室1厅 西, ,"参考价:26,095元/平",华润二十四城二期    -  万象城 ,3室1厅 | 83.38平米 | 西 | 简装 | 高楼层(共32层) | 2010年建 | 板塔结合
成都,文星花园 3室2厅 南, 138万,"13,910元/平",文星花园    -  航空港 ,3室2厅 | 99.21平米 | 南 | 毛坯 | 低楼层(共18层) | 2010年建 | 板塔结合
成都,南城都汇汇朗园五期 3室1厅 南, 270万,"30,067元/平",南城都汇汇朗园五期    -  市一医院 ,3室1厅 | 89.8平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼
成都,生活立方 3室1厅 东南, ,"参考价:21,466元/平",生活立方    -  优品道 ,3室1厅 | 95.04平米 | 东南 | 精装 | 高楼层(共11层) | 2003年建 | 板塔结合
成都,东山国际新城E区 2室2厅 西, 113万,"11,062元/平",东山国际新城E区    -  东山 ,2室2厅 | 102.16平米 | 西 | 精装 | 高楼层(共18层) | 2009年建 | 板塔结合
成都,石人南路39号 3室1厅 南, 92万,"12,507元/平",石人南路39号    -  府南新区 ,3室1厅 | 73.56平米 | 南 | 毛坯 | 低楼层(共7层) | 1996年建 | 板楼
成都,华新中街95号 3室2厅 东南, 76万,"11,424元/平",华新中街95号    -  南湖 ,3室2厅 | 66.53平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼
成都,隆鑫十里画卷 4室2厅 东南, 205万,"18,221元/平",隆鑫十里画卷    -  东升镇 ,4室2厅 | 112.51平米 | 东南 | 精装 | 中楼层(共18层) | 2016年建 | 板塔结合
成都,世茂城一期 3室1厅 南 北, ,"参考价:15,017元/平",世茂城一期    -  大面 ,3室1厅 | 116.3平米 | 南 北 | 精装 | 高楼层(共32层) | 2012年建 | 板楼
成都,东骏湖景湾四期 3室1厅 南, 134万,"13,610元/平",东骏湖景湾四期    -  新都城区 ,3室1厅 | 98.46平米 | 南 | 简装 | 低楼层(共18层) | 2010年建 | 板塔结合
成都,中海龙湾半岛 3室2厅 南, 345万,"24,344元/平",中海龙湾半岛    -  龙湾 ,3室2厅 | 141.72平米 | 南 | 精装 | 中楼层(共18层) | 2009年建 | 板楼
成都,华润翠林华庭 3室1厅 南, 208万,"19,707元/平",华润翠林华庭    -  动物园 ,3室1厅 | 105.55平米 | 南 | 简装 | 高楼层(共16层) | 2013年建 | 板塔结合
成都,兰枫园 3室2厅 东南, 225万,"13,709元/平",兰枫园    -  犀浦 ,3室2厅 | 164.13平米 | 东南 | 精装 | 中楼层(共10层) | 2011年建 | 板塔结合
成都,佳兆业8号 4室2厅 西, ,"参考价:16,527元/平",佳兆业8号    -  蛟龙港 ,4室2厅 | 130.03平米 | 西 | 精装 | 高楼层(共14层) | 2014年建 | 板塔结合
成都,新城吾悦广场 3室1厅 南, ,"参考价:15,886元/平",新城吾悦广场    -  龙泉驿城区 ,3室1厅 | 88平米 | 南 | 简装 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,望亭居 2室2厅 西南, 105万,"12,335元/平",望亭居    -  川音 ,2室2厅 | 85.13平米 | 西南 | 简装 | 中楼层(共7层) | 2002年建 | 板楼
成都,优品尚东三期 3室2厅 东, ,"参考价:17,527元/平",优品尚东三期    -  万年场 ,3室2厅 | 77.19平米 | 东 | 简装 | 低楼层(共33层) | 2015年建 | 板塔结合
成都,金牛万达C组团 3室1厅 南, 206万,"22,051元/平",金牛万达C组团    -  金牛万达 ,3室1厅 | 93.42平米 | 南 | 精装 | 高楼层(共32层) | 2012年建 | 塔楼
成都,领馆国际城 3室2厅 南, 220万,"23,013元/平",领馆国际城    -  远大 ,3室2厅 | 95.6平米 | 南 | 精装 | 中楼层(共28层) | 2013年建 | 板塔结合
成都,凯莱帝景 3室2厅 西, 207万,"14,898元/平",凯莱帝景    -  桐梓林 ,3室2厅 | 138.95平米 | 西 | 精装 | 中楼层(共31层) | 2001年建 | 板塔结合
成都,银诚东方国际三期 2室2厅 南, 90万,"12,331元/平",银诚东方国际三期    -  十陵 ,2室2厅 | 72.99平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合
成都,派克公馆 3室2厅 南, 160万,"12,308元/平",派克公馆    -  成外 ,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层) | 2011年建 | 板塔结合
成都,铂金时代 3室2厅 西南, 103万,"7,645元/平",铂金时代    -  郫县城区 ,3室2厅 | 134.74平米 | 西南 | 毛坯 | 中楼层(共13层) | 2013年建 | 板塔结合
成都,锦上花 1室1厅 东北, 82万,"16,126元/平",锦上花    -  合江亭 ,1室1厅 | 50.85平米 | 东北 | 简装 | 中楼层(共11层) | 2004年建 | 板塔结合
成都,公园1号 3室2厅 西南, 95万,"13,237元/平",公园1号    -  红光 ,3室2厅 | 71.77平米 | 西南 | 精装 | 中楼层(共32层) | 2016年建 | 板楼
成都,蓉上坊二期 2室1厅 东南, 255万,"27,809元/平",蓉上坊二期    -  合江亭 ,2室1厅 | 91.7平米 | 东南 | 简装 | 25层 | 2010年建 | 塔楼
成都,空港上辰 3室1厅 东南 西南, 148万,"14,962元/平",空港上辰    -  双流城区 ,3室1厅 | 98.92平米 | 东南 西南 | 简装 | 中楼层(共14层) | 2013年建 | 塔楼
成都,星光小区 2室1厅 东, 75万,"9,031元/平",星光小区    -  航天 ,2室1厅 | 83.05平米 | 东 | 简装 | 中楼层(共6层)  | 板楼
成都,银诚东方国际三期 2室2厅 东, 91万,"11,949元/平",银诚东方国际三期    -  十陵 ,2室2厅 | 76.16平米 | 东 | 简装 | 高楼层(共34层)  | 板塔结合
成都,绿岸嘉苑 2室1厅 西南, 108万,"13,699元/平",绿岸嘉苑    -  衣冠庙 ,2室1厅 | 78.84平米 | 西南 | 简装 | 高楼层(共7层) | 2002年建 | 板楼
成都,晶宝塞纳国际 3室2厅 东南, 86万,"9,841元/平",晶宝塞纳国际    -  红光 ,3室2厅 | 87.39平米 | 东南 | 简装 | 低楼层(共25层) | 2014年建 | 塔楼
成都,弗客城 3室2厅 西南, 135万,"15,132元/平",弗客城    -  航空港 ,3室2厅 | 89.22平米 | 西南 | 简装 | 中楼层(共18层) | 2011年建 | 板塔结合
成都,源上湾万融城三期D区 3室2厅 南, 85万,"11,286元/平",源上湾万融城三期D区    -  新都城区 ,3室2厅 | 75.32平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合
成都,弗客城 3室1厅 东南, 140万,"15,701元/平",弗客城    -  航空港 ,3室1厅 | 89.17平米 | 东南 | 精装 | 中楼层(共20层) | 2011年建 | 板塔结合
成都,文星花园 3室2厅 南, 145万,"14,616元/平",文星花园    -  航空港 ,3室2厅 | 99.21平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板塔结合
成都,南湖国际社区 3室1厅 西, ,"参考价:18,728元/平",南湖国际社区    -  南湖 ,3室1厅 | 124.44平米 | 西 | 精装 | 高楼层(共34层) | 2010年建 | 板塔结合
成都,源上湾国际社区千叶郡 3室1厅 东, 97万,"11,233元/平",源上湾国际社区千叶郡    -  新都城区 ,3室1厅 | 86.36平米 | 东 | 简装 | 高楼层(共29层)  | 板塔结合
成都,珠江御景湾 3室2厅 东北, 203万,"15,291元/平",珠江御景湾    -  珠江新城 ,3室2厅 | 132.76平米 | 东北 | 精装 | 中楼层(共18层) | 2015年建 | 板塔结合
成都,新城吾悦广场 3室2厅 东, ,"参考价:15,886元/平",新城吾悦广场    -  龙泉驿城区 ,3室2厅 | 95.76平米 | 东 | 精装 | 低楼层(共34层) | 2016年建 | 板塔结合
成都,金茂悦龙山 3室1厅 西南, ,"参考价:15,479元/平",金茂悦龙山    -  大面 ,3室1厅 | 84.84平米 | 西南 | 精装 | 中楼层(共33层)  | 塔楼
成都,炜岸城一期 3室2厅 西南, ,"参考价:14,318元/平",炜岸城一期    -  大面 ,3室2厅 | 102.87平米 | 西南 | 精装 | 低楼层(共33层) | 2016年建 | 板塔结合
成都,电建地产云立方 3室2厅 东, ,"参考价:14,631元/平",电建地产云立方    -  大面 ,3室2厅 | 100.06平米 | 东 | 精装 | 低楼层(共34层) | 2015年建 | 板塔结合
成都,双林路332号 2室1厅 南, 82万,"11,071元/平",双林路332号    -  猛追湾 ,2室1厅 | 74.07平米 | 南 | 简装 | 高楼层(共7层) | 1998年建 | 板塔结合
成都,鑫苑名家一期 3室1厅 东南, 160万,"20,277元/平",鑫苑名家一期    -  卓锦城 ,3室1厅 | 78.91平米 | 东南 | 精装 | 中楼层(共34层) | 2011年建 | 板塔结合
成都,天赋龙庭 3室2厅 南, 140万,"13,593元/平",天赋龙庭    -  十陵 ,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合
成都,金牛万达C组团 3室2厅 南, 202万,"21,051元/平",金牛万达C组团    -  金牛万达 ,3室2厅 | 95.96平米 | 南 | 精装 | 高楼层(共32层) | 2012年建 | 塔楼
成都,霏红榭 3室1厅 东南, 98万,"11,161元/平",霏红榭    -  航天 ,3室1厅 | 87.81平米 | 东南 | 精装 | 低楼层(共18层) | 2015年建 | 板塔结合
成都,檀香山 4室2厅 东南, 350万,"25,685元/平",檀香山    -  高朋 ,4室2厅 | 136.27平米 | 东南 | 精装 | 18层 | 2009年建 | 板塔结合
成都,红牌楼广场 3室1厅 东南, ,"参考价:17,403元/平",红牌楼广场    -  丽都 ,3室1厅 | 95.76平米 | 东南 | 精装 | 高楼层(共17层) | 2007年建 | 板塔结合
成都,欣茂大峰景 3室2厅 南, ,"参考价:12,395元/平",欣茂大峰景    -  大丰 ,3室2厅 | 82.84平米 | 南 | 精装 | 低楼层(共27层) | 2013年建 | 板塔结合
成都,保利城一期 2室2厅 南, ,"参考价:12,145元/平",保利城一期    -  大丰 ,2室2厅 | 75.44平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板塔结合
